match_id,team1_id,team2_id,winner,loser,drawn,tied,date,type_of_match
62749,2,3,0,,1,,1953-01-24,Test
62750,2,3,3,2,,,1953-02-06,Test
62751,4,6,0,,1,,1953-01-21,Test
62752,4,6,4,6,,,1953-02-07,Test
62753,4,6,0,,1,,1953-02-19,Test
62754,4,6,0,,1,,1953-03-11,Test
62755,4,6,0,,1,,1953-03-28,Test
62756,5,3,3,5,,,1953-03-06,Test
62757,5,3,0,,1,,1953-03-13,Test
62758,1,2,0,,1,,1953-06-11,Test
62759,1,2,0,,1,,1953-06-25,Test
62760,1,2,0,,1,,1953-07-09,Test
62761,1,2,0,,1,,1953-07-23,Test
62762,1,2,1,2,,,1953-08-15,Test
62763,3,5,3,5,,,1953-12-11,Test
62764,3,5,3,5,,,1953-12-24,Test
62765,3,5,0,,1,,1954-01-01,Test
62766,3,5,3,5,,,1954-01-29,Test
62767,3,5,3,5,,,1954-02-05,Test
62768,4,1,4,1,,,1954-01-15,Test
62769,4,1,4,1,,,1954-02-06,Test
62770,4,1,1,4,,,1954-02-24,Test
62771,4,1,0,,1,,1954-03-17,Test
62772,4,1,1,4,,,1954-03-30,Test
62773,1,7,0,,1,,1954-06-10,Test
62774,1,7,1,7,,,1954-07-01,Test
62775,1,7,0,,1,,1954-07-22,Test
62776,1,7,7,1,,,1954-08-12,Test
62777,2,1,2,1,,,1954-11-26,Test
62778,2,1,1,2,,,1954-12-17,Test
62779,2,1,1,2,,,1954-12-31,Test
62780,2,1,1,2,,,1955-01-28,Test
62781,2,1,0,,1,,1955-02-25,Test
62782,7,6,0,,1,,1955-01-01,Test
62783,7,6,0,,1,,1955-01-15,Test
62784,7,6,0,,1,,1955-01-29,Test
62785,7,6,0,,1,,1955-02-12,Test
62786,7,6,0,,1,,1955-02-26,Test
62787,5,1,1,5,,,1955-03-11,Test
62788,5,1,1,5,,,1955-03-25,Test
62789,4,2,2,4,,,1955-03-26,Test
62790,4,2,0,,1,,1955-04-11,Test
62791,4,2,2,4,,,1955-04-26,Test
62792,4,2,0,,1,,1955-05-14,Test
62793,4,2,2,4,,,1955-06-11,Test
62794,1,3,1,3,,,1955-06-09,Test
62795,1,3,1,3,,,1955-06-23,Test
62796,1,3,3,1,,,1955-07-07,Test
62797,1,3,3,1,,,1955-07-21,Test
62798,1,3,1,3,,,1955-08-13,Test
62799,7,5,7,5,,,1955-10-13,Test
62800,7,5,7,5,,,1955-10-26,Test
62801,7,5,0,,1,,1955-11-07,Test
62802,6,5,0,,1,,1955-11-19,Test
62803,6,5,6,5,,,1955-12-02,Test
62804,6,5,0,,1,,1955-12-16,Test
62805,6,5,0,,1,,1955-12-28,Test
62806,6,5,6,5,,,1956-01-06,Test
62807,5,4,4,5,,,1956-02-03,Test
62808,5,4,4,5,,,1956-02-18,Test
62809,5,4,4,5,,,1956-03-03,Test
62810,5,4,5,4,,,1956-03-09,Test
62811,1,2,0,,1,,1956-06-07,Test
62812,1,2,2,1,,,1956-06-21,Test
62813,1,2,1,2,,,1956-07-12,Test
62814,1,2,1,2,,,1956-07-26,Test
62815,1,2,0,,1,,1956-08-23,Test
62816,7,2,7,2,,,1956-10-11,Test
62817,6,2,2,6,,,1956-10-19,Test
62818,6,2,0,,1,,1956-10-26,Test
62819,6,2,2,6,,,1956-11-02,Test
62820,3,1,1,3,,,1956-12-24,Test
62821,3,1,1,3,,,1957-01-01,Test
62822,3,1,0,,1,,1957-01-25,Test
62823,3,1,3,1,,,1957-02-15,Test
62824,3,1,3,1,,,1957-03-01,Test
62825,1,4,0,,1,,1957-05-30,Test
62826,1,4,1,4,,,1957-06-20,Test
62827,1,4,0,,1,,1957-07-04,Test
62828,1,4,1,4,,,1957-07-25,Test
62829,1,4,1,4,,,1957-08-22,Test
62830,3,2,0,,1,,1957-12-23,Test
62831,3,2,2,3,,,1957-12-31,Test
62832,3,2,0,,1,,1958-01-24,Test
62833,3,2,2,3,,,1958-02-07,Test
62834,3,2,2,3,,,1958-02-28,Test
62835,4,7,0,,1,,1958-01-17,Test
62836,4,7,4,7,,,1958-02-05,Test
62837,4,7,4,7,,,1958-02-26,Test
62838,4,7,4,7,,,1958-03-13,Test
62839,4,7,7,4,,,1958-03-26,Test
62840,1,5,1,5,,,1958-06-05,Test
62841,1,5,1,5,,,1958-06-19,Test
62842,1,5,1,5,,,1958-07-03,Test
62843,1,5,1,5,,,1958-07-24,Test
62844,1,5,0,,1,,1958-08-21,Test
62845,6,4,0,,1,,1958-11-28,Test
62846,6,4,4,6,,,1958-12-12,Test
62847,6,4,4,6,,,1958-12-31,Test
62848,6,4,4,6,,,1959-01-21,Test
62849,6,4,0,,1,,1959-02-06,Test
62850,2,1,2,1,,,1958-12-05,Test
62851,2,1,2,1,,,1958-12-31,Test
62852,2,1,0,,1,,1959-01-09,Test
62853,2,1,2,1,,,1959-01-30,Test
62854,2,1,2,1,,,1959-02-13,Test
62855,7,4,7,4,,,1959-02-20,Test
62856,7,4,7,4,,,1959-03-06,Test
62857,7,4,4,7,,,1959-03-26,Test
62858,5,1,1,5,,,1959-02-27,Test
62859,5,1,0,,1,,1959-03-14,Test
62860,1,6,1,6,,,1959-06-04,Test
62861,1,6,1,6,,,1959-06-18,Test
62862,1,6,1,6,,,1959-07-02,Test
62863,1,6,1,6,,,1959-07-23,Test
62864,1,6,1,6,,,1959-08-20,Test
62865,7,2,2,7,,,1959-11-13,Test
62866,7,2,2,7,,,1959-11-21,Test
62867,7,2,0,,1,,1959-12-04,Test
62868,6,2,2,6,,,1959-12-12,Test
62869,6,2,6,2,,,1959-12-19,Test
62870,6,2,0,,1,,1960-01-01,Test
62871,6,2,2,6,,,1960-01-13,Test
62872,6,2,0,,1,,1960-01-23,Test
62873,4,1,0,,1,,1960-01-06,Test
62874,4,1,1,4,,,1960-01-28,Test
62875,4,1,0,,1,,1960-02-17,Test
62876,4,1,0,,1,,1960-03-09,Test
62877,4,1,0,,1,,1960-03-25,Test
